TradeID,TradeDate,ValueDate,TradeTime,TraderID,Counterparty,CurrencyPair,BuySell,DealtCurrency,BaseCurrency,TermCurrency,NotionalAmount,FXRate,TradeStatus,SettlementStatus,SettlementMethod,Broker,ExecutionVenue,ProductType,MaturityDate,ConfirmationTimestamp,SettlementDate,BookingLocation,Portfolio,TradeVersion,CancellationFlag,AmendmentFlag,RiskSystemID,RegulatoryReportingStatus,TradeSourceSystem,ConfirmationMethod,ConfirmationStatus,SettlementInstructions,Custodian,NettingEligibility,TradeComplianceStatus,KYCCheck,SanctionsScreening,ExceptionFlag,ExceptionNotes,AuditTrailRef,CommissionAmount,CommissionCurrency,BrokerageFee,BrokerageCurrency,CustodyFee,CustodyCurrency,SettlementCost,SettlementCurrency,FXGainLoss,PnlCalculated,CostAllocationStatus,CostCenter,ExpenseApprovalStatus,CostBookedDate
FX0001,5/11/2025,5/16/2025,14:07:18,TDR446,HSBC,EUR/USD,Sell,USD,EUR,USD,500000,97.9964,Cancelled,Settled,CLS,ICAP,Bloomberg,Forward,53:00.1,5/11/2025 13:53,5/16/2025,New York,PORT3,3,Yes,No,RSK3150,Filed,Murex,SWIFT,Pending,Special,BNY Mellon,Yes,Passed,Pending,Pending Review,Yes,Rate mismatch,AUD47808,686.65,USD,63.49,USD,81.05,EUR,47.99,USD,-1235.2,-662.31,Failed,FX_FIN_03,Rejected,5/13/2025
FX0002,5/24/2025,5/26/2025,11:06:26,TDR983,Citi,USD/CHF,Sell,CHF,USD,CHF,1500000,44.76,Cancelled,Settled,Wire,ICAP,EBS,Spot,,5/24/2025 12:53,5/26/2025,Singapore,PORT3,3,Yes,No,RSK8961,Required,Custom,Manual,Confirmed,Standard,BNY Mellon,No,Failed,Complete,Clear,No,Counterparty mismatch,AUD82029,596.53,CHF,429.11,CHF,93.11,USD,134.88,CHF,-887.67,-9751.9,Allocated,FX_OPS_01,Under Review,5/26/2025
FX0003,5/19/2025,5/22/2025,23:57:16,TDR347,Citi,USD/JPY,Buy,USD,USD,JPY,2000000,115.5779,Settled,Failed,CLS,BGC Partners,360T,Forward,53:00.1,5/19/2025 14:53,5/22/2025,Singapore,PORT1,2,Yes,No,RSK5873,Filed,Murex,Manual,Pending,Urgent,JP Morgan,Yes,Passed,Pending,Clear,Yes,Missing documentation,AUD36463,352.68,JPY,313.77,JPY,139.73,USD,32.82,JPY,1187.07,5731.87,Pending,FX_FIN_03,Under Review,5/21/2025
FX0004,6/3/2025,6/5/2025,20:25:10,TDR264,JPMorgan,USD/JPY,Buy,USD,USD,JPY,1000000,112.8647,Cancelled,Settled,Wire,Tullett Prebon,Bloomberg,Spot,,6/3/2025 10:53,6/5/2025,Singapore,PORT1,1,No,Yes,RSK8642,Required,Murex,Email,Confirmed,Standard,HSBC Custody,No,Failed,Pending,Flagged,No,Rate mismatch,AUD23689,275.56,JPY,231.6,JPY,75.13,USD,38.61,JPY,-3571.2,-2977.74,Pending,FX_OPS_01,Under Review,6/6/2025
FX0005,5/28/2025,6/2/2025,23:34:44,TDR180,HSBC,USD/INR,Buy,USD,USD,INR,1500000,126.6499,Cancelled,Pending,Netting,Tullett Prebon,EBS,Swap,53:00.1,5/28/2025 13:53,6/2/2025,New York,PORT2,3,No,No,RSK7251,Required,Murex,Manual,Pending,Special,BNY Mellon,Yes,Passed,Incomplete,Flagged,Yes,Late booking,AUD32831,665.98,INR,420,INR,80.43,USD,85.93,INR,-1768.57,-5663.37,Pending,FX_FIN_03,Under Review,5/30/2025
FX0006,5/15/2025,5/17/2025,2:03:02,TDR604,Citi,EUR/USD,Buy,EUR,EUR,USD,1500000,38.3641,Cancelled,Failed,Netting,ICAP,Reuters,Spot,,5/15/2025 12:53,5/17/2025,London,PORT5,3,Yes,Yes,RSK5553,Required,Murex,Email,Confirmed,Special,HSBC Custody,No,Pending,Incomplete,Clear,Yes,Late booking,AUD12989,229.97,USD,137.7,USD,43.72,EUR,79.56,USD,3722.64,-9104.46,Allocated,FX_FIN_03,Under Review,5/17/2025
FX0007,5/13/2025,5/14/2025,1:48:44,TDR994,HSBC,USD/INR,Sell,INR,USD,INR,500000,131.6948,Settled,Pending,Wire,Tullett Prebon,360T,Forward,53:00.1,5/13/2025 10:53,5/14/2025,New York,PORT5,3,Yes,Yes,RSK6140,Not required,Custom,Electronic,Disputed,Special,BNY Mellon,No,Passed,Complete,Flagged,No,Late booking,AUD99673,636.77,INR,313.4,INR,172.82,USD,114.59,INR,1631.06,2026.79,Pending,FX_TRD_02,Rejected,5/14/2025
FX0008,5/15/2025,5/18/2025,23:53:24,TDR997,Citi,USD/CHF,Sell,CHF,USD,CHF,1000000,21.9091,Cancelled,Pending,CLS,BGC Partners,Reuters,Spot,,5/15/2025 13:53,5/18/2025,Mumbai,PORT4,3,No,No,RSK5409,Not required,Custom,Electronic,Disputed,Special,JP Morgan,No,Pending,Complete,Clear,Yes,Counterparty mismatch,AUD22012,767.04,CHF,367.54,CHF,153.15,USD,89.79,CHF,804.27,-5958.18,Pending,FX_OPS_01,Approved,5/16/2025
FX0009,6/6/2025,6/11/2025,21:05:03,TDR662,Deutsche,GBP/USD,Buy,GBP,GBP,USD,1000000,146.0822,Cancelled,Pending,Netting,BGC Partners,360T,Swap,53:00.1,6/6/2025 10:53,6/11/2025,London,PORT4,2,Yes,No,RSK3242,Not required,Custom,Email,Confirmed,Special,State Street,No,Passed,Complete,Clear,No,,AUD11882,816.92,USD,289.86,USD,181.93,GBP,33.64,USD,964.64,3927.49,Pending,FX_FIN_03,Under Review,6/7/2025
FX0010,5/28/2025,5/30/2025,1:55:39,TDR798,BNP Paribas,USD/CHF,Buy,USD,USD,CHF,1000000,101.4759,Settled,Failed,Netting,Tullett Prebon,Reuters,Swap,53:00.1,5/28/2025 10:53,5/30/2025,London,PORT1,1,Yes,Yes,RSK3461,Required,Summit,Email,Pending,Urgent,State Street,No,Failed,Complete,Pending Review,No,Late booking,AUD84696,701.09,CHF,307.57,CHF,180.3,USD,68.13,CHF,-4783.35,-7541.58,Failed,FX_TRD_02,Rejected,5/31/2025
